G | 6/26/2025 11:38:14 AM
E | 6/26/2025 11:38:14 AM
R | 6/26/2025 11:38:14 AM
E | 6/26/2025 11:38:15 AM
R | 6/26/2025 11:38:15 AM
F | 6/26/2025 11:38:16 AM
H | 6/26/2025 11:38:16 AM
U | 6/26/2025 11:38:16 AM
I | 6/26/2025 11:38:16 AM
R | 6/26/2025 11:38:16 AM
H | 6/26/2025 11:38:16 AM
G | 6/26/2025 11:38:16 AM
I | 6/26/2025 11:38:16 AM
E | 6/26/2025 11:38:16 AM
U | 6/26/2025 11:38:16 AM
G | 6/26/2025 11:38:17 AM
H | 6/26/2025 11:38:17 AM
I | 6/26/2025 11:38:17 AM
U | 6/26/2025 11:38:17 AM
RShiftKey | 6/26/2025 11:38:17 AM
Shift + M | 6/26/2025 11:38:17 AM
A | 6/26/2025 11:38:17 AM
H | 6/26/2025 11:38:18 AM
D | 6/26/2025 11:38:18 AM
I | 6/26/2025 11:38:18 AM
Space | 6/26/2025 11:38:18 AM
H | 6/26/2025 11:38:18 AM
H | 6/26/2025 11:38:18 AM
H | 6/26/2025 11:38:19 AM
G | 6/26/2025 11:38:19 AM
E | 6/26/2025 11:38:19 AM
D3 | 6/26/2025 11:38:21 AM
D4 | 6/26/2025 11:38:21 AM
D5 | 6/26/2025 11:38:21 AM
D6 | 6/26/2025 11:38:21 AM
D7 | 6/26/2025 11:38:21 AM
D8 | 6/26/2025 11:38:21 AM
D9 | 6/26/2025 11:38:21 AM
D0 | 6/26/2025 11:38:21 AM
OemMinus | 6/26/2025 11:38:21 AM
Oemplus | 6/26/2025 11:38:22 AM
Q | 6/26/2025 11:38:22 AM
W | 6/26/2025 11:38:22 AM
E | 6/26/2025 11:38:22 AM
R | 6/26/2025 11:38:22 AM
T | 6/26/2025 11:38:22 AM
Y | 6/26/2025 11:38:22 AM
U | 6/26/2025 11:38:22 AM
I | 6/26/2025 11:38:22 AM
O | 6/26/2025 11:38:22 AM
P | 6/26/2025 11:38:22 AM
Oem4 | 6/26/2025 11:38:22 AM
Oem6 | 6/26/2025 11:38:22 AM
OemPipe | 6/26/2025 11:38:22 AM
A | 6/26/2025 11:38:22 AM
S | 6/26/2025 11:38:23 AM
D | 6/26/2025 11:38:23 AM
F | 6/26/2025 11:38:23 AM
G | 6/26/2025 11:38:23 AM
H | 6/26/2025 11:38:23 AM
J | 6/26/2025 11:38:23 AM
K | 6/26/2025 11:38:23 AM
L | 6/26/2025 11:38:23 AM
OemSemicolon | 6/26/2025 11:38:23 AM
OemQuotes | 6/26/2025 11:38:23 AM
Oemtilde | 6/26/2025 11:38:23 AM
Z | 6/26/2025 11:38:23 AM
X | 6/26/2025 11:38:23 AM
C | 6/26/2025 11:38:24 AM
V | 6/26/2025 11:38:24 AM
B | 6/26/2025 11:38:24 AM
N | 6/26/2025 11:38:24 AM
M | 6/26/2025 11:38:24 AM
Oemcomma | 6/26/2025 11:38:24 AM
LControlKey | 6/26/2025 11:38:39 AM
Ctrl + A | 6/26/2025 11:38:40 AM
Back | 6/26/2025 11:38:40 AM
LControlKey | 6/26/2025 11:38:41 AM
Ctrl + S | 6/26/2025 11:38:41 AM
RShiftKey | 6/26/2025 11:38:51 AM
Shift + D | 6/26/2025 11:38:51 AM
Shift + F | 6/26/2025 11:38:52 AM
G | 6/26/2025 11:38:52 AM
H | 6/26/2025 11:38:52 AM
J | 6/26/2025 11:38:52 AM
Space | 6/26/2025 11:38:52 AM
K | 6/26/2025 11:38:52 AM
L | 6/26/2025 11:38:53 AM
OemSemicolon | 6/26/2025 11:38:53 AM
OemQuotes | 6/26/2025 11:38:53 AM
Oemtilde | 6/26/2025 11:38:53 AM
Space | 6/26/2025 11:38:53 AM
RShiftKey | 6/26/2025 11:38:53 AM
Shift + Z | 6/26/2025 11:38:53 AM
X | 6/26/2025 11:38:53 AM
C | 6/26/2025 11:38:54 AM
V | 6/26/2025 11:38:54 AM
B | 6/26/2025 11:38:54 AM
Space | 6/26/2025 11:38:54 AM
N | 6/26/2025 11:38:55 AM
M | 6/26/2025 11:38:55 AM
Oemcomma | 6/26/2025 11:38:55 AM
OemPeriod | 6/26/2025 11:38:55 AM
Oem2 | 6/26/2025 11:38:55 AM
D1 | 6/26/2025 11:38:55 AM
D2 | 6/26/2025 11:38:55 AM
D3 | 6/26/2025 11:38:55 AM
D4 | 6/26/2025 11:38:55 AM
D5 | 6/26/2025 11:38:55 AM
D6 | 6/26/2025 11:38:55 AM
D7 | 6/26/2025 11:38:55 AM
D8 | 6/26/2025 11:38:55 AM
LControlKey | 6/26/2025 11:39:48 AM
Ctrl + LShiftKey | 6/26/2025 11:39:48 AM
Ctrl + Shift + Escape | 6/26/2025 11:39:48 AM
RShiftKey | 6/26/2025 11:41:26 AM
Shift + M | 6/26/2025 11:41:26 AM
